CNO;CNUM;TYP;FABR;MIET;MASS;FARB;ANO;BEME;LNM;BJ;BDAT;ZDAT;RNUM;RBET;WERT;FAKT;KOST;LIEF;MDA;MDE;ABHO;KONT;Z247;Z251;Z255;Z259;Z263;Z345;Z349;Z353;Z357;Z361;Z365;Z447;Z451;Z455;Z459;Z463;Z545;Z549;Z553;Z557;Z561;Z565;Z647;Z651;Z655;Z659;Z663
914;17470;Büro/Unterkunftscont.;20 ft. GR-JO;112,00;6055x2435x2820;1015 hellelfenbein;402;;;08.10;  .  .    ;  .  .    ;;5100,00;0,00;0,0;0,00;03.12.2013;  .  .    ;  .  .    ;  .  .    ;/05.12.2013/16:54;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
816;2857;Büro/Unterkunftscont.;IC STUGEBA;0,00;6055x2435x2800;7032 kieselgrau;404;;STUGEBA;;15.05.2008;  .  .    ;;2800,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/27.04.2015/09:33;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
612;0000300;Lagerfläche;;500,00;;;409;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/16.02.2006/08:44;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
683;291310-7;Kühlcontainer 20 ft.;ZANOTTI;510,00;6055x2435x2590;RAL 1013 / 5021;410;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.04.2014;  .  .    ;  .  .    ;  .  .    ;/22.04.2014/13:14;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1020;091327094;Büro/Unterkunftscont.;20 ft. CTX;160,00;6055x2435x2820;9002 grauweiß;413;;Containex;;  .  .    ;  .  .    ;;4350,00;0,00;0,0;0,00;01.12.2014;  .  .    ;  .  .    ;  .  .    ;/03.12.2014/15:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
685;292009-2;TK-Container 20 ft.;ZANOTTI;630,00;6055x2435x2590;RAL 1013 / 5021;416;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;12.03.2015;  .  .    ;  .  .    ;  .  .    ;/11.03.2015/13:30;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1033;0000214;Einlagerung 40 ft.;WC-Wagen;45,00;;;418;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.09.2014;  .  .    ;  .  .    ;  .  .    ;/22.09.2014/11:00;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1012;251011-4;Kühl-Container 20 ft;ZANOTTI;510,00;6055x2435x2590;1013 / 5021;421;;Braun;;  .  .    ;  .  .    ;;6075,00;0,00;0,0;0,00;16.03.2015;  .  .    ;  .  .    ;  .  .    ;/10.04.2015/08:33;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1079;000034;Datenlogger #73213860;EBI 300-T;30,00;;;421;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;16.03.2015;  .  .    ;  .  .    ;  .  .    ;/13.03.2015/08:26;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
832;349919-0;Stahllagercont. 20 ft;;71,25;6055x2435x2590;grün;426;;CDM;;  .  .    ;  .  .    ;;1475,00;0,00;0,0;0,00;18.02.2014;  .  .    ;  .  .    ;  .  .    ;/19.02.2014/08:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
252;000054;Elektrokabel 1 m;380V/32A;0,00;;;431;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;27.11.2014;  .  .    ;  .  .    ;  .  .    ;/26.11.2014/13:30;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
822;13616;Büro/Unterkunftscont.;20 ft.GR-JO;112,00;6055x2435x2817;1015 hellelfenbein;431;;;06.08;10.06.2008;  .  .    ;40004946;5131,00;0,00;0,0;0,00;27.11.2014;  .  .    ;  .  .    ;  .  .    ;/28.11.2014/08:20;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
