CNO;CNUM;TYP;FABR;MIET;MASS;FARB;ANO;BEME;LNM;BJ;BDAT;ZDAT;RNUM;RBET;WERT;FAKT;KOST;LIEF;MDA;MDE;ABHO;KONT;Z247;Z251;Z255;Z259;Z263;Z345;Z349;Z353;Z357;Z361;Z365;Z447;Z451;Z455;Z459;Z463;Z545;Z549;Z553;Z557;Z561;Z565;Z647;Z651;Z655;Z659;Z663
690;485654-9;TK-Container 40 ft.;ZANOTTI;600,00;12192x2435x2590;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;14.08.2008;  .  .    ;  .  .    ;21.03.2011;/22.03.2011/07:33;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
691;000097;1 Unterstellbock;(Rampenhöhe);0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/26.11.2007/13:37;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
693;273953-9;TK/K-Container 20 ft.;ZANOTTI;0,00;6055x2435x2590;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;28.02.2012;  .  .    ;  .  .    ;25.06.2014;/26.06.2014/13:46;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
695;293571-8;TK-Container 20 ft.;ZANOTTI;900,00;6055x2435x2590;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;02.09.2014;  .  .    ;  .  .    ;08.09.2014;/09.09.2014/09:00;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
700;W772678-5;Stahllagercontainer;7150 mm;0,00;7150x2500x2590;blau;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.12.2014;  .  .    ;  .  .    ;  .  .    ;/18.12.2014/09:17;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
702;274074-0;TK-Container 20 ft.;ZANOTTI;504,00;6055x2435x2590;RAL 1013/5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.02.2009;  .  .    ;  .  .    ;  .  .    ;/29.07.2011/11:48;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
703;273782-9;TK-Container 20 ft.;ZANOTTI;0,00;6055x2435x2590;RAL 1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;31.01.2014;  .  .    ;  .  .    ;19.02.2014;/26.02.2014/08:02;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
705;860014-9;Kühl-Container 40;ARKTIK;0,00;12192x2435x2900 mm;1013 / 5021;0;;CHT Container;;11.03.2011;  .  .    ;;7191,00;0,00;0,0;0,00;27.03.2013;  .  .    ;  .  .    ;04.07.2013;/08.07.2013/12:39;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
706;474722-2;TK-Container 40 ft.;ZANOTTI;1350,00;12192x2435x2590;1013 / 5021;0;;CHT Natelberg;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;24.11.2014;  .  .    ;  .  .    ;15.12.2014;/16.12.2014/17:11;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
707;000020;2 Stahl-Außentreppen;3stufig;50,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.07.2014;  .  .    ;  .  .    ;22.07.2014;/23.07.2014/10:39;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
708;10310;Büro/Unterkunftscont.;20 ft. 2R;126,00;6055x2435x2590;orange;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;11.05.2007;  .  .    ;  .  .    ;24.05.2007;/10.08.2007/09:46;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
710;273586-8;Isoliercontainer;20 ft.;0,00;6055x2435x2590;RAL 1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;18.08.2011;  .  .    ;  .  .    ;16.01.2014;/16.01.2014/17:32;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
715;485831-1;Kühlcontainer 40 ft.;ZANOTTI;0,00;12192x2435x2590;1013 / 5021;0;;CHT Natelberg;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;11.11.2013;  .  .    ;  .  .    ;15.11.2013;/11.11.2013/11:12;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
718;221.1/06;Büro/Unterkunftscont.;CA STUGEBA;135,00;6055x2435x2590;1015 hellelfenbein;0;;STUGEBA;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;09.12.2014;  .  .    ;  .  .    ;23.12.2014;/23.12.2014/13:28;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
722;0000410;Bürocontainer 20 ft.;ALG #120320;540,00;6055x2435x2800;;0;gemietet von ALGECO;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;01.08.2013;  .  .    ;  .  .    ;  .  .    ;/01.10.2013/08:25;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
724;273194-4;TK-Container 20 ft.;ARKTIK;900,00;6055x2435x2590;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;02.09.2014;  .  .    ;  .  .    ;08.09.2014;/09.09.2014/09:00;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
726;1334;Sanitärcont. Da/He;20 ft. GR-JO;680,00;6055x2435x2590;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;14.08.2014;  .  .    ;  .  .    ;11.09.2014;/18.09.2014/15:56;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
731;1106;Sanitärcont. Da/He;7,23m GR-JO;0,00;7230x2435x2817;9018;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;23.08.2006;  .  .    ;  .  .    ;  .  .    ;/20.08.2007/16:20;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
732;1108;Sanitärcont. Da/He;24 ft. GR-JO;1450,00;7230x2435x2817;RAL 1015;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.08.2014;  .  .    ;  .  .    ;  .  .    ;/24.10.2014/17:28;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
736;273080-3;TK-Container 20 ft.;ZANOTTI;630,00;6055x2435x2590;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;26.05.2010;  .  .    ;  .  .    ;04.11.2014;/27.02.2015/08:53;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
737;275317-8;TK-Container 20 ft.;ZANOTTI;1020,00;6055x2435x2590;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;25.11.2013;  .  .    ;  .  .    ;10.12.2013;/07.01.2014/11:32;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
739;1103;Sanitärcont. Da/He;24 ft. GR-JO;960,00;7230x2435x2800;9018;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;27.08.2014;  .  .    ;  .  .    ;17.09.2014;/18.09.2014/16:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
742;1101;Sanitärcont. Da/He;24 ft. GR-JO;1450,00;7230x2435x2817;9018;0;;11-1;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;25.08.2014;  .  .    ;  .  .    ;14.10.2014;/12.01.2015/10:12;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
745;0000130;Möblierung;;20,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;23.10.2014;  .  .    ;  .  .    ;  .  .    ;/20.11.2014/09:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
748;000022;1 Stahl-Außentreppe;mit Geländer;0,00;3400x2200x6500;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;06.12.2006;  .  .    ;  .  .    ;  .  .    ;/30.05.2008/08:45;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
749;289693-7;Stahllagercont. 20 ft;;580,00;6055x2435x2590;dunkelrot;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.12.2014;  .  .    ;  .  .    ;09.01.2015;/12.01.2015/07:48;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
750;1449;Bürocontainer 20 ft.;GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.07.2014;  .  .    ;  .  .    ;10.12.2014;/11.12.2014/11:45;WН;WÄ;WН;WÄ;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
751;1450;Bürocontainer  20 ft.;GR-JO;569,00;6055x2435x2817;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;05.08.2014;  .  .    ;  .  .    ;09.09.2014;/15.09.2014/08:56;WН;WÄ;WН;WÄ;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
753;G10063;Bürocontainer 20 ft.;GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;23.01.2014;  .  .    ;  .  .    ;09.10.2014;/13.10.2014/16:32;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
754;3203-3207;Containeranlage (5);STUGEBA;546,00;6055x12215x2800;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;26.05.2015;  .  .    ;  .  .    ;  .  .    ;/22.05.2015/14:20;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
755;W772612-6;Stahllagercontainer;7150 mm;0,00;7150x2500x2590;blau;0;;CDM;;  .  .    ;  .  .    ;;1200,00;0,00;0,0;0,00;08.12.2011;  .  .    ;  .  .    ;20.02.2014;/21.02.2014/08:31;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
759;000025;Stahl-Außentreppe;mit Geländer;0,00;3400x1400x3000;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;20.11.2012;  .  .    ;  .  .    ;  .  .    ;/19.03.2013/08:22;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
760;0000408;Sanitärcont. behinder;#GI1001;1160,00;2991x2435x2590;grau;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;02.09.2013;  .  .    ;  .  .    ;  .  .    ;/09.10.2013/09:26;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
776;212500;Sanitärcont. Dusch/WC;20 ft. OECON;356,00;6055x2435x2590;1015 hellelfenbein;0;;AVE Spedition;19.99;27.06.2007;  .  .    ;0607-13.455;3250,00;0,00;0,0;0,00;11.09.2014;  .  .    ;  .  .    ;  .  .    ;/16.10.2014/12:54;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
779;3622;Sanitärcont. behind.;6x3 GR-JO;0,00;6055x3000x2590;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.08.2007;  .  .    ;  .  .    ;  .  .    ;/06.09.2007/15:50;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
780;485561-9;Kühl-Container 40;ZANOTTI;0,00;12192x2435x2590 mm;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/05.08.2013/14:46;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
784;3721;Bürocontainer Kk 20;GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;10.07.2014;  .  .    ;  .  .    ;12.11.2014;/13.11.2014/16:10;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
785;208897-8;Stahllagercont. 20 ft;;580,00;6055x2435x2590;grau;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;12.12.2014;  .  .    ;  .  .    ;02.02.2015;/09.02.2015/08:56;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
788;3971;Büro/Unterkunftscont.;20 ft. GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;11.08.2014;  .  .    ;  .  .    ;  .  .    ;/10.12.2014/17:30;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
790;0000125;1 Stand-Klimagerät;MITSUI 04M1247369;0,00;;Leistung 2,4 kW;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;18.09.2007;  .  .    ;  .  .    ;31.01.2012;/01.02.2012/09:09;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
796;J12421;Büro/Unterkunftscont.;20 ft. GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;GR-JO;;  .  .    ;  .  .    ;;4775,00;0,00;0,0;0,00;19.05.2014;  .  .    ;  .  .    ;24.09.2014;/25.09.2014/09:10;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
801;J12426;Bürocontainer 20 ft.;GR-JO;569,00;6055x2435x2817;1015 hellelfenbein;0;;GR-JO;;  .  .    ;  .  .    ;;4775,00;0,00;0,0;0,00;05.08.2014;  .  .    ;  .  .    ;09.09.2014;/15.09.2014/08:56;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
808;0000411;Bürocontainer 20 ft.;ALG #120963;540,00;6055x2435x2800;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;01.08.2013;  .  .    ;  .  .    ;  .  .    ;/01.10.2013/08:25;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
812;000027;Stahl-Podest;mit Geländer;0,00;2435x1000 mm;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;29.10.2013;  .  .    ;  .  .    ;11.09.2014;/12.09.2014/08:55;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
818;0000126;Stand-Klimagerät;MITSUI 04MI247371;0,00;;Leistung 2,4 kW;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;30.05.2008;  .  .    ;  .  .    ;26.03.2009;/31.03.2009/07:38;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
823;13617;Bürocontainer 20 ft.;GR-JO;880,00;6055x2435x2817;1015 hellelfenbein;0;;;06.08;10.06.2008;  .  .    ;40004946;5131,00;0,00;0,0;0,00;01.09.2014;  .  .    ;  .  .    ;13.10.2014;/13.10.2014/16:37;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;S;WН;WÄ;WН;WÄ;WН
824;13618;Bürocontainer;20 ft GR-JO;822,00;6055x2435x2817;1015 hellelfenbein;0;;;06.08;10.06.2008;  .  .    ;40004946;5131,00;0,00;0,0;0,00;07.08.2014;  .  .    ;  .  .    ;28.08.2014;/01.09.2014/18:01;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
825;13044;Sanitärcont. Da/He;20 ft. GR-JO;876,50;6055x2435x2590;1015 hellelfenbein;0;;GR-JO;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;15.07.2014;  .  .    ;  .  .    ;21.07.2014;/22.07.2014/13:57;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
828;13047;Sanitärcont. Herren;20 ft. GR-JO;840,00;6055x2435x2590;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;12.08.2014;  .  .    ;  .  .    ;11.09.2014;/23.01.2015/08:21;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
830;13049;Sanitärcont. Damen;20 ft. GR-JO;840,00;6055x2435x2590;1015 hellelfenbein;0;;Grinbold-Jodag;;  .  .    ;  .  .    ;;8340,00;0,00;0,0;0,00;12.08.2014;  .  .    ;  .  .    ;11.09.2014;/23.01.2015/08:21;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
836;0000127;1 Stand-Klimagerät;MITSUI;180,00;3,5 kW;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;03.07.2008;  .  .    ;  .  .    ;07.07.2008;/08.07.2008/16:10;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
837;331496-0;Stahllagercont. 20 ft;;0,00;6055x2435x2590;grün;0;;CDM;;  .  .    ;  .  .    ;;1475,00;0,00;0,0;0,00;24.10.2012;  .  .    ;  .  .    ;13.11.2013;/15.11.2013/08:19;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
838;F 006/2008;Fäkalientank 7000 l;GR-JO;155,00;6055x2435x500;8024 beigebraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;07.12.2012;  .  .    ;  .  .    ;10.12.2012;/11.12.2012/08:19;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
839;F 007/2008;Fäkalientank 7000 l;GR-JO;155,00;6055x2435x500;8024 beigebraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;07.12.2012;  .  .    ;  .  .    ;10.12.2012;/11.12.2012/08:19;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
840;F 008/2008;Fäkalientank 7000 l;GR-JO;250,00;6055x2435x500;8024 beigebraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;21.09.2011;  .  .    ;  .  .    ;20.12.2011;/14.07.2014/15:34;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
841;F 009/2008;Fäkalientank 7000 l;GR-JO;0,00;6055x2435x500;8024 beigebraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;25.07.2014;  .  .    ;  .  .    ;  .  .    ;/25.07.2014/08:45;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
842;F 010/2008;Fäkalientank 7000 l;GR-JO;250,00;6055x2435x500;8024 beigebraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;21.09.2011;  .  .    ;  .  .    ;20.12.2011;/14.07.2014/15:34;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
850;0000129;Wand-Klimagerät 3,2kW;# 7WT012017;0,00;590x450x350;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/24.06.2011/07:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
